reach,cfs,hab,site,terrain,rest_desc,rest_type,n_rest_features,size,lin_ft,terr_sq_ft,terr_ac,terr_less_rest,terr_inund_notes
San Acacia,5000,1.4,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,32362,3,1.6,
San Acacia,6000,1.5,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,37487,3.4,1.9,
San Acacia,7000,1.5,112,AB,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,45410,4.2,2.7,
San Acacia,0,0,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,0,0,0,
San Acacia,800,0,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,0,0,0,
San Acacia,1000,0,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,50,0,0,
San Acacia,2000,1,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,74727,1.7,0.7,
San Acacia,3000,1.3,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,98975,2.3,1,
San Acacia,4000,1.4,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,120224,2.8,1.4,
San Acacia,5000,1.4,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,139966,3.2,1.8,
San Acacia,6000,1.5,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,174019,4,2.5,
San Acacia,7000,1.5,112,PR,backwater that attaches to a natural side channel at higher discharges,Backwater,1,1.5,204,291300,6.7,5.2,
San Acacia,0,0,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,0,0,0,
San Acacia,800,0,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,0,0,0,
San Acacia,1000,0.05,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,603,0.1,0,
San Acacia,2000,0.5,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,18041,1.7,1.2,
San Acacia,2780,0.8,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,27542,2.5,1.7,
San Acacia,4000,1.5,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,77739,7.1,5.6,
San Acacia,5000,1.6,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,160545,14.7,13.1,
San Acacia,6000,1.6,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,181993,16.7,15.1,
San Acacia,7000,1.6,114,PR,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,193856,17.8,16.2,
San Acacia,0,0,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,0,0,0,
San Acacia,800,0,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,0,0,0,
San Acacia,1000,0,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,409,0,0,
San Acacia,2000,0.5,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,71208,1.6,1.1,
San Acacia,2780,1.1,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,140144,3.2,2.1,
San Acacia,4000,1.6,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,336245,7.7,6.1,
San Acacia,5000,1.7,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,633415,14.5,12.8,
San Acacia,6000,1.7,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,771130,17.7,16,
San Acacia,7000,1.7,114,AB,2 inlets attaching to a single backwater,Inlet,2,1.7,1043,779430,17.9,16.2,
